model,condition,se,ci_lo,ci_hi,n_facts
qwen3vl-8b-instruct,control,0.06440234371827319,0.65,0.9,40
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.06419237695446996,0.65,0.9,40
qwen3vl-8b-instruct,domain_uhigh_mlow,0.07800917057379153,0.425,0.725,40
qwen3vl-8b-instruct,domain_ulow_mhigh,0.07276089548636681,0.55,0.825,40
qwen3vl-8b-instruct,domain_ulow_mlow,0.07671724118287347,0.45,0.75,40
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.07401409566783129,0.175,0.45,40
qwen3vl-8b-instruct,irrel_uhigh_mlow,0.07740155375422635,0.25,0.55,40
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.07661856253199101,0.225,0.525,40
qwen3vl-8b-instruct,irrel_ulow_mlow,0.07692930677250137,0.25,0.55,40
qwen3vl-8b-think,control,0.07259091509265121,0.55,0.825,40
qwen3vl-8b-think,domain_uhigh_mhigh,0.07303426866572557,0.55,0.825,40
qwen3vl-8b-think,domain_uhigh_mlow,0.07897353063256475,0.4,0.7,40
qwen3vl-8b-think,domain_ulow_mhigh,0.07674348333447327,0.5,0.8,40
qwen3vl-8b-think,domain_ulow_mlow,0.07910622824578555,0.4,0.7,40
qwen3vl-8b-think,irrel_uhigh_mhigh,0.07659890137379856,0.225,0.525,40
qwen3vl-8b-think,irrel_uhigh_mlow,0.07329418996761103,0.225,0.5,40
qwen3vl-8b-think,irrel_ulow_mhigh,0.07479317882433974,0.2,0.475,40
qwen3vl-8b-think,irrel_ulow_mlow,0.07851599296465216,0.25,0.55,40
