category,control,domain_uhigh_mhigh,domain_uhigh_mlow,domain_ulow_mhigh,domain_ulow_mlow,irrel_uhigh_mhigh,irrel_uhigh_mlow,irrel_ulow_mhigh,irrel_ulow_mlow
Activity,1.0,1.0,0.9,0.85,0.8,0.825,0.7625,0.8375,0.8
Exercise,0.5,0.95,0.75,0.8,0.7,0.6875,0.725,0.75,0.7625
Food,0.75,0.6,0.8,0.55,0.7,0.575,0.6,0.625,0.625
Game,1.0,0.9,0.75,0.95,0.95,0.9625,0.9375,0.9125,0.9625
Health,1.0,0.95,0.95,1.0,1.0,0.8875,0.875,0.9625,0.9125
Home,0.75,0.95,0.95,0.7,0.65,0.7,0.6625,0.7125,0.5875
Office,0.75,0.95,0.8,0.95,0.8,0.6875,0.7,0.7375,0.65
Research,0.75,1.0,1.0,1.0,0.85,0.9,0.8375,0.95,0.9
Study,0.5,0.5,0.45,0.5,0.45,0.4375,0.4625,0.425,0.45
Travel,0.75,1.0,0.95,0.95,0.9,0.9625,0.9375,0.95,0.925
