category,control,domain_uhigh_mhigh,domain_uhigh_mlow,domain_ulow_mhigh,domain_ulow_mlow,irrel_uhigh_mhigh,irrel_uhigh_mlow,irrel_ulow_mhigh,irrel_ulow_mlow
Activity,0.5,0.85,0.8,0.8,0.7,0.55,0.5875,0.65,0.5125
Exercise,1.0,0.85,0.85,0.95,0.9,0.825,0.875,0.85,0.8625
Food,0.5,0.7,0.4,0.7,0.65,0.5375,0.5125,0.5375,0.4875
Game,1.0,0.8,0.85,0.9,0.95,0.9,0.9875,0.9875,1.0
Health,1.0,1.0,1.0,1.0,1.0,0.925,0.9,0.9125,0.9125
Home,0.5,0.9,0.9,0.85,0.85,0.65,0.7,0.7125,0.6875
Office,0.5,0.9,0.8,0.9,0.7,0.5625,0.625,0.6,0.575
Research,1.0,1.0,0.95,0.95,0.95,0.9625,0.9625,0.925,0.95
Study,0.5,0.6,0.55,0.45,0.45,0.475,0.4625,0.4625,0.4625
Travel,0.5,1.0,0.9,0.9,0.85,0.7,0.6875,0.725,0.625
