condition,status_dimension,pass_rate,n
control,none,0.7,40
domain_uhigh_mhigh,Activity,0.85,20
domain_uhigh_mhigh,Exercise,0.85,20
domain_uhigh_mhigh,Food,0.7,20
domain_uhigh_mhigh,Game,0.8,20
domain_uhigh_mhigh,Health,1.0,20
domain_uhigh_mhigh,Home,0.9,20
domain_uhigh_mhigh,Office,0.9,20
domain_uhigh_mhigh,Research,1.0,20
domain_uhigh_mhigh,Study,0.6,20
domain_uhigh_mhigh,Travel,1.0,20
domain_uhigh_mlow,Activity,0.8,20
domain_uhigh_mlow,Exercise,0.85,20
domain_uhigh_mlow,Food,0.4,20
domain_uhigh_mlow,Game,0.85,20
domain_uhigh_mlow,Health,1.0,20
domain_uhigh_mlow,Home,0.9,20
domain_uhigh_mlow,Office,0.8,20
domain_uhigh_mlow,Research,0.95,20
domain_uhigh_mlow,Study,0.55,20
domain_uhigh_mlow,Travel,0.9,20
domain_ulow_mhigh,Activity,0.8,20
domain_ulow_mhigh,Exercise,0.95,20
domain_ulow_mhigh,Food,0.7,20
domain_ulow_mhigh,Game,0.9,20
domain_ulow_mhigh,Health,1.0,20
domain_ulow_mhigh,Home,0.85,20
domain_ulow_mhigh,Office,0.9,20
domain_ulow_mhigh,Research,0.95,20
domain_ulow_mhigh,Study,0.45,20
domain_ulow_mhigh,Travel,0.9,20
domain_ulow_mlow,Activity,0.7,20
domain_ulow_mlow,Exercise,0.9,20
domain_ulow_mlow,Food,0.65,20
domain_ulow_mlow,Game,0.95,20
domain_ulow_mlow,Health,1.0,20
domain_ulow_mlow,Home,0.85,20
domain_ulow_mlow,Office,0.7,20
domain_ulow_mlow,Research,0.95,20
domain_ulow_mlow,Study,0.45,20
domain_ulow_mlow,Travel,0.85,20
irrel_uhigh_mhigh,educational_credentials,0.71,200
irrel_uhigh_mhigh,institutional_affiliation,0.7,200
irrel_uhigh_mhigh,job_title,0.695,200
irrel_uhigh_mhigh,subscription_tier,0.73,200
irrel_uhigh_mlow,educational_credentials,0.75,200
irrel_uhigh_mlow,institutional_affiliation,0.75,200
irrel_uhigh_mlow,job_title,0.68,200
irrel_uhigh_mlow,subscription_tier,0.74,200
irrel_ulow_mhigh,educational_credentials,0.72,200
irrel_ulow_mhigh,institutional_affiliation,0.75,200
irrel_ulow_mhigh,job_title,0.715,200
irrel_ulow_mhigh,subscription_tier,0.76,200
irrel_ulow_mlow,educational_credentials,0.74,200
irrel_ulow_mlow,institutional_affiliation,0.7,200
irrel_ulow_mlow,job_title,0.67,200
irrel_ulow_mlow,subscription_tier,0.72,200
