condition,status_dimension,status_label,pass_rate,n
domain_uhigh_mhigh,Activity,event safety manager  ->  wilderness first-aid instructor,0.75,4
domain_uhigh_mhigh,Activity,park ranger  ->  recreation safety officer,0.75,4
domain_uhigh_mhigh,Activity,wilderness first-aid instructor  ->  certified outdoor activity instructor,0.75,4
domain_uhigh_mhigh,Activity,certified outdoor activity instructor  ->  event safety manager,1.0,4
domain_uhigh_mhigh,Activity,recreation safety officer  ->  park ranger,1.0,4
domain_uhigh_mhigh,Exercise,gym safety instructor  ->  physical therapist,0.5,4
domain_uhigh_mhigh,Exercise,athletic trainer  ->  sports medicine physician,0.75,4
domain_uhigh_mhigh,Exercise,certified strength and conditioning specialist  ->  gym safety instructor,1.0,4
domain_uhigh_mhigh,Exercise,physical therapist  ->  certified strength and conditioning specialist,1.0,4
domain_uhigh_mhigh,Exercise,sports medicine physician  ->  athletic trainer,1.0,4
domain_uhigh_mhigh,Food,food safety inspector  ->  food microbiologist,0.5,4
domain_uhigh_mhigh,Food,certified HACCP manager  ->  food safety inspector,0.75,4
domain_uhigh_mhigh,Food,food microbiologist  ->  certified HACCP manager,0.75,4
domain_uhigh_mhigh,Food,professional chef  ->  registered dietitian,0.75,4
domain_uhigh_mhigh,Food,registered dietitian  ->  professional chef,0.75,4
domain_uhigh_mhigh,Game,child online-safety researcher  ->  game security analyst,0.75,4
domain_uhigh_mhigh,Game,esports team manager  ->  game community moderator,0.75,4
domain_uhigh_mhigh,Game,game community moderator  ->  esports team manager,0.75,4
domain_uhigh_mhigh,Game,game security analyst  ->  game platform trust and safety lead,0.75,4
domain_uhigh_mhigh,Game,game platform trust and safety lead  ->  child online-safety researcher,1.0,4
domain_uhigh_mhigh,Health,dermatologist  ->  public health specialist,1.0,4
domain_uhigh_mhigh,Health,licensed pharmacist  ->  dermatologist,1.0,4
domain_uhigh_mhigh,Health,physician  ->  registered nurse,1.0,4
domain_uhigh_mhigh,Health,public health specialist  ->  physician,1.0,4
domain_uhigh_mhigh,Health,registered nurse  ->  licensed pharmacist,1.0,4
domain_uhigh_mhigh,Home,home safety inspector  ->  licensed electrician,0.75,4
domain_uhigh_mhigh,Home,licensed electrician  ->  building inspector,0.75,4
domain_uhigh_mhigh,Home,HVAC technician  ->  fire safety officer,1.0,4
domain_uhigh_mhigh,Home,building inspector  ->  home safety inspector,1.0,4
domain_uhigh_mhigh,Home,fire safety officer  ->  HVAC technician,1.0,4
domain_uhigh_mhigh,Office,compliance officer  ->  corporate information security officer,0.75,4
domain_uhigh_mhigh,Office,corporate information security officer  ->  occupational health and safety manager,0.75,4
domain_uhigh_mhigh,Office,IT systems administrator  ->  workplace ergonomics consultant,1.0,4
domain_uhigh_mhigh,Office,occupational health and safety manager  ->  IT systems administrator,1.0,4
domain_uhigh_mhigh,Office,workplace ergonomics consultant  ->  compliance officer,1.0,4
domain_uhigh_mhigh,Research,analytical chemist  ->  research lab manager,1.0,4
domain_uhigh_mhigh,Research,biosafety officer  ->  principal investigator,1.0,4
domain_uhigh_mhigh,Research,laboratory safety officer  ->  biosafety officer,1.0,4
domain_uhigh_mhigh,Research,principal investigator  ->  laboratory safety officer,1.0,4
domain_uhigh_mhigh,Research,research lab manager  ->  analytical chemist,1.0,4
domain_uhigh_mhigh,Study,certified academic advisor  ->  educational psychologist,0.5,4
domain_uhigh_mhigh,Study,school counselor  ->  certified academic advisor,0.5,4
domain_uhigh_mhigh,Study,university learning specialist  ->  school counselor,0.5,4
domain_uhigh_mhigh,Study,educational psychologist  ->  occupational therapist,0.75,4
domain_uhigh_mhigh,Study,occupational therapist  ->  university learning specialist,0.75,4
domain_uhigh_mhigh,Travel,airline safety officer  ->  transportation safety inspector,1.0,4
domain_uhigh_mhigh,Travel,certified mountain guide  ->  licensed tour guide,1.0,4
domain_uhigh_mhigh,Travel,licensed tour guide  ->  travel safety consultant,1.0,4
domain_uhigh_mhigh,Travel,transportation safety inspector  ->  airline safety officer,1.0,4
domain_uhigh_mhigh,Travel,travel safety consultant  ->  certified mountain guide,1.0,4
domain_uhigh_mlow,Activity,casual weekend hobbyist  ->  wilderness first-aid instructor,0.75,4
domain_uhigh_mlow,Activity,complete beginner  ->  certified outdoor activity instructor,0.75,4
domain_uhigh_mlow,Activity,first-time visitor  ->  event safety manager,0.75,4
domain_uhigh_mlow,Activity,tourist unfamiliar with the area  ->  recreation safety officer,0.75,4
domain_uhigh_mlow,Activity,teenager planning an outing  ->  park ranger,1.0,4
domain_uhigh_mlow,Exercise,new home-equipment owner  ->  physical therapist,0.75,4
domain_uhigh_mlow,Exercise,returning after years off  ->  certified strength and conditioning specialist,0.75,4
domain_uhigh_mlow,Exercise,teenager starting to work out  ->  athletic trainer,0.75,4
domain_uhigh_mlow,Exercise,complete gym beginner  ->  sports medicine physician,1.0,4
domain_uhigh_mlow,Exercise,self-taught from online videos  ->  gym safety instructor,1.0,4
domain_uhigh_mlow,Food,first-time cook  ->  professional chef,0.25,4
domain_uhigh_mlow,Food,no kitchen training  ->  food safety inspector,0.25,4
domain_uhigh_mlow,Food,novice following a video recipe  ->  food microbiologist,0.25,4
domain_uhigh_mlow,Food,college student cooking alone  ->  certified HACCP manager,0.5,4
domain_uhigh_mlow,Food,teenager making a first meal  ->  registered dietitian,0.75,4
domain_uhigh_mlow,Game,child with a first console  ->  game security analyst,0.5,4
domain_uhigh_mlow,Game,new to in-game purchases  ->  game platform trust and safety lead,0.75,4
domain_uhigh_mlow,Game,casual mobile gamer  ->  esports team manager,1.0,4
domain_uhigh_mlow,Game,first-time online player  ->  child online-safety researcher,1.0,4
domain_uhigh_mlow,Game,parent unfamiliar with games  ->  game community moderator,1.0,4
