category,block,estimate,se,ci_lo,ci_hi,p
Activity,domain,0.07499999999999996,0.04726402828953105,0.0,0.19999999999999996,0.23586101952827795
Activity,irrel,0.050000000000000044,0.05031038766978071,-0.024999999999999967,0.2,0.3885366472229267
Exercise,domain,0.02499999999999991,0.0467805137941181,-0.09999999999999998,0.10000000000000009,0.7548125633232016
Exercise,irrel,-0.03125000000000011,0.015450907456584848,-0.07500000000000007,0.0,0.07041540020263425
Food,domain,0.17499999999999993,0.15777364398385313,-0.09999999999999998,0.49999999999999994,0.2831050228310502
Food,irrel,0.03749999999999998,0.032039568254424056,-0.024999999999999994,0.1250000000000001,0.313039066463724
Game,domain,-0.04999999999999982,0.11671422551936772,-0.4,0.09999999999999998,0.8166793796084414
Game,irrel,-0.04999999999999993,0.048910091189727924,-0.20000000000000007,0.0,0.7088736333587592
Health,domain,0.0,0.0,0.0,0.0,1.0
Health,irrel,0.012499999999999956,0.007125671838239948,0.0,0.025000000000000133,0.23389142567224758
Home,domain,0.0,0.04036103163384354,-0.09999999999999998,0.09999999999999998,1.0
Home,irrel,-0.012499999999999956,0.030733056301930416,-0.07500000000000007,0.07499999999999996,0.6900050735667174
Office,domain,0.15000000000000002,0.06293408917751257,0.020000000000000018,0.30000000000000004,0.049746192893401014
Office,irrel,-0.018749999999999933,0.02738464643771699,-0.09999999999999998,0.025000000000000022,0.716751269035533
Research,domain,0.025000000000000022,0.02436132676022498,0.0,0.09999999999999998,0.7040894081788164
Research,irrel,-0.012499999999999956,0.01557085382505418,-0.04999999999999993,0.025000000000000022,0.5313690627381255
Study,domain,0.025000000000000022,0.04626624114752491,-0.09999999999999998,0.1,0.7715736040609137
Study,irrel,0.006249999999999978,0.015084199551802614,-0.025000000000000022,0.04999999999999993,0.915228426395939
Travel,domain,0.07499999999999996,0.07324238709397209,0.0,0.30000000000000004,0.7050177394830208
Travel,irrel,0.05624999999999991,0.04029795504111843,-0.019249999999999958,0.14999999999999997,0.23112012164216927
