model,condition,rate,n,se,ci95,all_pass_rate,facts,facts_passed,rows_per_fact,all_pass_rate_k5,rate_balanced,n_dimensions
qwen3vl-8b-instruct,control,0.775,40,0.06686668711812965,0.1310587067515341,0.775,40,31,1.0,,0.775,1
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.88,200,0.02303591253524935,0.04515038856908873,0.775,40,31,5.0,0.7749999999999992,0.8800000000000001,10
qwen3vl-8b-instruct,domain_uhigh_mlow,0.83,200,0.026627903149340423,0.05219069017270723,0.575,40,23,5.0,0.5749999999999961,0.8300000000000001,10
qwen3vl-8b-instruct,domain_ulow_mhigh,0.825,200,0.02693515384331069,0.05279290153288895,0.7,40,28,5.0,0.6999999999999947,0.825,10
qwen3vl-8b-instruct,domain_ulow_mlow,0.78,200,0.02936514188266328,0.057555678090020025,0.6,40,24,5.0,0.5999999999999961,0.78,10
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.7625,800,0.01505491616136676,0.02950763567627885,0.3,40,12,20.0,0.5304375000000001,0.7625,4
qwen3vl-8b-instruct,irrel_uhigh_mlow,0.75,800,0.01531888819135625,0.03002502085505825,0.4,40,16,20.0,0.5236875000000005,0.75,4
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.78625,800,0.014503071941650182,0.028426021005634357,0.375,40,15,20.0,0.5779374999999995,0.78625,4
qwen3vl-8b-instruct,irrel_ulow_mlow,0.7575,800,0.015162604268735063,0.029718704366720725,0.4,40,16,20.0,0.5475000000000008,0.7575,4
qwen3vl-8b-think,control,0.7,40,0.07337993857053428,0.14382467959824718,0.7,40,28,1.0,,0.7,1
qwen3vl-8b-think,domain_uhigh_mhigh,0.86,200,0.024597258498217655,0.048210626656506606,0.7,40,28,5.0,0.6999999999999947,0.86,10
qwen3vl-8b-think,domain_uhigh_mlow,0.8,200,0.028355248200333447,0.05557628647265356,0.55,40,22,5.0,0.5500000000000036,0.8,10
qwen3vl-8b-think,domain_ulow_mhigh,0.84,200,0.02598801424545767,0.05093650792109703,0.65,40,26,5.0,0.6500000000000036,0.8400000000000001,10
qwen3vl-8b-think,domain_ulow_mlow,0.8,200,0.02835524820033344,0.055576286472653544,0.55,40,22,5.0,0.5500000000000036,0.8,10
qwen3vl-8b-think,irrel_uhigh_mhigh,0.70875,800,0.016073339328573397,0.03150374508400386,0.375,40,15,20.0,0.5150000000000002,0.70875,4
qwen3vl-8b-think,irrel_uhigh_mlow,0.73,800,0.0157061565697258,0.030784066876662568,0.35,40,14,20.0,0.5248125000000003,0.73,4
qwen3vl-8b-think,irrel_ulow_mhigh,0.73625,800,0.015589618890352411,0.030555653025090727,0.325,40,13,20.0,0.5175000000000005,0.73625,4
qwen3vl-8b-think,irrel_ulow_mlow,0.7075,800,0.016093583870668848,0.03154342438651094,0.4,40,16,20.0,0.5253750000000003,0.7075,4
