model,dimension,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,educational_credentials,irrel,user (high-low),-0.04249999999999998,0.022737146238350603,-0.08749999999999991,0.0024999999999999467,0.06848287928017996
qwen3vl-8b-instruct,educational_credentials,irrel,model (high-low),-0.007499999999999951,0.02053431704862712,-0.047499999999999876,0.032500000000000084,0.7533116720819795
qwen3vl-8b-instruct,educational_credentials,irrel,interaction,-0.05500000000000005,0.04089689474688127,-0.135,0.025000000000000022,0.19745063734066484
qwen3vl-8b-instruct,institutional_affiliation,irrel,user (high-low),0.030000000000000027,0.017489744610532064,-0.0024999999999999467,0.06506250000000038,0.08197950512371907
qwen3vl-8b-instruct,institutional_affiliation,irrel,model (high-low),0.05500000000000016,0.026140953260341136,0.007499999999999951,0.10999999999999999,0.030992251937015745
qwen3vl-8b-instruct,institutional_affiliation,irrel,interaction,-0.030000000000000027,0.021866433985307444,-0.07012500000000012,0.014999999999999902,0.18445388652836792
qwen3vl-8b-instruct,job_title,irrel,user (high-low),-0.020000000000000018,0.025159845569212892,-0.07000000000000006,0.029999999999999916,0.44738815296175954
qwen3vl-8b-instruct,job_title,irrel,model (high-low),0.029999999999999916,0.026598864804472325,-0.020000000000000018,0.08250000000000002,0.28292926768307924
qwen3vl-8b-instruct,job_title,irrel,interaction,0.019999999999999907,0.039100009605181445,-0.05499999999999994,0.09999999999999998,0.654336415896026
qwen3vl-8b-instruct,subscription_tier,irrel,user (high-low),-0.030000000000000027,0.015696384933619942,-0.06000000000000005,0.0,0.06098475381154711
qwen3vl-8b-instruct,subscription_tier,irrel,model (high-low),0.0050000000000001155,0.01746768842804135,-0.02750000000000008,0.040000000000000036,0.8342914271432142
qwen3vl-8b-instruct,subscription_tier,irrel,interaction,0.0,0.03767663889225065,-0.07500000000000007,0.07499999999999996,1.0
qwen3vl-8b-think,educational_credentials,irrel,user (high-low),0.0,0.021413309375061532,-0.03750000000000009,0.04500000000000004,0.9957510622344414
qwen3vl-8b-think,educational_credentials,irrel,model (high-low),-0.030000000000000027,0.017918772810721736,-0.0675,0.0025000000000000577,0.08797800549862535
qwen3vl-8b-think,educational_credentials,irrel,interaction,-0.020000000000000018,0.029183790315075397,-0.07512500000000003,0.03500000000000003,0.5343664083979005
qwen3vl-8b-think,institutional_affiliation,irrel,user (high-low),0.0,0.022568591018482187,-0.04500000000000004,0.04249999999999998,0.9967508122969257
qwen3vl-8b-think,institutional_affiliation,irrel,model (high-low),0.0,0.02514358770611423,-0.047499999999999876,0.05249999999999988,1.0
qwen3vl-8b-think,institutional_affiliation,irrel,interaction,-0.10000000000000009,0.05800719713679861,-0.21999999999999997,0.009999999999999898,0.0804798800299925
qwen3vl-8b-think,job_title,irrel,user (high-low),-0.0050000000000000044,0.02241420247422689,-0.0475000000000001,0.040000000000000036,0.8702824293926519
qwen3vl-8b-think,job_title,irrel,model (high-low),0.029999999999999916,0.017437402736389607,-0.0025000000000000577,0.06499999999999995,0.08347913021744564
qwen3vl-8b-think,job_title,irrel,interaction,-0.030000000000000027,0.05951344333412722,-0.1451250000000001,0.08499999999999996,0.6523369157710572
qwen3vl-8b-think,subscription_tier,irrel,user (high-low),-0.0050000000000000044,0.014213495334097208,-0.03249999999999997,0.022499999999999964,0.7618095476130967
qwen3vl-8b-think,subscription_tier,irrel,model (high-low),0.015000000000000013,0.01816042538770955,-0.01750000000000007,0.05249999999999999,0.4648837790552362
qwen3vl-8b-think,subscription_tier,irrel,interaction,-0.050000000000000044,0.0305210268015225,-0.11499999999999999,0.0050000000000000044,0.09747563109222694
