model,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,user (high-low),0.05249999999999999,0.03127358544196642,-0.0050000000000000044,0.12,0.07648087978005498
qwen3vl-8b-instruct,domain,model (high-low),0.0475000000000001,0.027682005851660533,-0.010000000000000009,0.09999999999999987,0.10197450637340665
qwen3vl-8b-instruct,domain,interaction,0.0050000000000001155,0.027073777595596517,-0.04999999999999993,0.05999999999999994,0.8852786803299175
qwen3vl-8b-instruct,irrel,user (high-low),-0.015625,0.009884717337675106,-0.03499999999999992,0.0037499999999999227,0.11897025743564109
qwen3vl-8b-instruct,irrel,model (high-low),0.020625000000000115,0.013524404215498073,-0.004375000000000018,0.04812499999999997,0.11947013246688327
qwen3vl-8b-instruct,irrel,interaction,-0.016250000000000098,0.019330028208074997,-0.053750000000000075,0.022499999999999964,0.4123969007748063
qwen3vl-8b-think,domain,user (high-low),0.010000000000000009,0.02058139780465052,-0.03249999999999997,0.0475000000000001,0.6483379155211197
qwen3vl-8b-think,domain,model (high-low),0.04999999999999993,0.023465346369261893,0.002500000000000166,0.09749999999999992,0.03699075231192202
qwen3vl-8b-think,domain,interaction,0.020000000000000018,0.02909820849076181,-0.03499999999999992,0.08000000000000007,0.5223694076480879
qwen3vl-8b-think,irrel,user (high-low),-0.0025000000000000577,0.01090276818461923,-0.02375000000000005,0.018749999999999937,0.8527868032991752
qwen3vl-8b-think,irrel,model (high-low),0.00374999999999992,0.010483788903673144,-0.016874999999999862,0.02376562500000021,0.7318170457385653
qwen3vl-8b-think,irrel,interaction,-0.04999999999999993,0.020510946744487016,-0.09125000000000005,-0.011249999999999982,0.007998000499875032
