model,condition,delta_vs_control,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.10499999999999998,0.05965670282110277,-0.0050000000000000044,0.2250000000000001,0.07698075481129718
qwen3vl-8b-instruct,domain_uhigh_mlow,0.05499999999999994,0.05598509674694187,-0.04500000000000004,0.17000000000000004,0.350912271932017
qwen3vl-8b-instruct,domain_ulow_mhigh,0.04999999999999993,0.055347057728480926,-0.050000000000000044,0.16999999999999993,0.3979005248687828
qwen3vl-8b-instruct,domain_ulow_mlow,0.0050000000000000044,0.052353031466438806,-0.09499999999999997,0.1100000000000001,0.9822544363909023
qwen3vl-8b-instruct,irrel_uhigh_mhigh,-0.012500000000000067,0.04693472218546202,-0.09753125000000001,0.08499999999999996,0.751812046988253
qwen3vl-8b-instruct,irrel_uhigh_mlow,-0.025000000000000022,0.047919777293449595,-0.11375000000000002,0.07374999999999998,0.5628592851787053
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.011249999999999982,0.04931924520580694,-0.08003125000000005,0.11253125000000015,0.8657835541114721
qwen3vl-8b-instruct,irrel_ulow_mlow,-0.01750000000000007,0.04941175108737551,-0.10749999999999993,0.08503125000000018,0.6798300424893776
qwen3vl-8b-think,domain_uhigh_mhigh,0.16000000000000003,0.06996075414494995,0.025000000000000022,0.30000000000000004,0.016495876030992253
qwen3vl-8b-think,domain_uhigh_mlow,0.10000000000000009,0.06148286831883885,-0.015000000000000013,0.22499999999999998,0.10447388152961759
qwen3vl-8b-think,domain_ulow_mhigh,0.14,0.06269956853847743,0.025000000000000022,0.2699999999999999,0.01849537615596101
qwen3vl-8b-think,domain_ulow_mlow,0.10000000000000009,0.058831200382723096,-0.010000000000000009,0.21500000000000008,0.09097725568607848
qwen3vl-8b-think,irrel_uhigh_mhigh,0.008750000000000036,0.04759695662613333,-0.08374999999999999,0.10499999999999998,0.8687828042989253
qwen3vl-8b-think,irrel_uhigh_mlow,0.030000000000000027,0.04688084482086072,-0.057531249999999985,0.12753125000000018,0.540864783804049
qwen3vl-8b-think,irrel_ulow_mhigh,0.036250000000000004,0.048633004531721515,-0.05625000000000002,0.13624999999999998,0.47588102974256435
qwen3vl-8b-think,irrel_ulow_mlow,0.007500000000000062,0.04555613167997021,-0.08125000000000004,0.09878125000000011,0.8872781804548863
