model,condition,delta_vs_control,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain_uhigh_mhigh,-0.015000000000000013,0.03942290273514897,-0.09000000000000008,0.0625,0.7143214196450888
qwen3vl-8b-instruct,domain_uhigh_mlow,-0.03749999999999998,0.036986909086843815,-0.10750000000000004,0.03749999999999998,0.3364158960259935
qwen3vl-8b-instruct,domain_ulow_mhigh,-0.03500000000000003,0.03508762332115958,-0.10249999999999992,0.03499999999999992,0.35291177205698576
qwen3vl-8b-instruct,domain_ulow_mlow,-0.03249999999999997,0.03194316124574974,-0.09250000000000003,0.030000000000000027,0.33491627093226695
qwen3vl-8b-instruct,irrel_uhigh_mhigh,-0.004375000000000018,0.02701697502114952,-0.05437500000000006,0.05062499999999992,0.8502874281429642
qwen3vl-8b-instruct,irrel_uhigh_mlow,-0.015000000000000013,0.027669779862361688,-0.06687500000000002,0.040640625000000076,0.588352911772057
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.0025000000000000577,0.028338302175918147,-0.04999999999999993,0.06062500000000004,0.9617595601099725
qwen3vl-8b-instruct,irrel_ulow_mlow,-0.0031249999999999334,0.030444753072874732,-0.06062499999999993,0.05751562500000005,0.9087728067983004
qwen3vl-8b-think,domain_uhigh_mhigh,-0.010000000000000009,0.04662189224116216,-0.10249999999999992,0.08000000000000007,0.8647838040489878
qwen3vl-8b-think,domain_uhigh_mlow,-0.007499999999999951,0.035564377580980605,-0.07499999999999996,0.06500000000000006,0.8327918020494877
qwen3vl-8b-think,domain_ulow_mhigh,-0.02749999999999997,0.04175580736821667,-0.1050000000000001,0.057499999999999996,0.5203699075231192
qwen3vl-8b-think,domain_ulow_mlow,-0.0024999999999999467,0.03435005468065722,-0.0675,0.0675,0.9752561859535116
qwen3vl-8b-think,irrel_uhigh_mhigh,-0.008124999999999938,0.02391289077534896,-0.05437499999999995,0.04062500000000002,0.7378155461134717
qwen3vl-8b-think,irrel_uhigh_mlow,0.004375000000000018,0.02378786616284961,-0.039999999999999925,0.05437499999999995,0.8797800549862534
qwen3vl-8b-think,irrel_ulow_mhigh,-0.0012499999999999734,0.025208828383311732,-0.048140625000000076,0.050640625000000085,0.955261184703824
qwen3vl-8b-think,irrel_ulow_mlow,0.0,0.022653663271420446,-0.04249999999999998,0.04625000000000001,1.0
