model,prompt_type,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,SAFE,domain,user (high-low),0.037500000000000006,0.02867472303759767,-0.01842105263157895,0.09512762336925697,0.19145213696575855
qwen3vl-8b-instruct,SAFE,domain,model (high-low),0.027500000000000024,0.028688401588747085,-0.028579365079365086,0.08409389952153115,0.3339165208697826
qwen3vl-8b-instruct,SAFE,domain,interaction,-0.04500000000000001,0.0452664969717134,-0.13157894736842105,0.045841346153846184,0.32941764558860287
qwen3vl-8b-instruct,SAFE,irrel,user (high-low),0.003124999999999989,0.010322554876956859,-0.0173076923076923,0.02329730731225299,0.770307423144214
qwen3vl-8b-instruct,SAFE,irrel,model (high-low),0.004375000000000004,0.009533008024819772,-0.013333333333333336,0.024242981283422466,0.6793301674581355
qwen3vl-8b-instruct,SAFE,irrel,interaction,-0.02625000000000001,0.018733261121250358,-0.06375,0.010005681818181848,0.16445888527868033
qwen3vl-8b-instruct,UNSAFE,domain,user (high-low),0.05249999999999999,0.03103491407675855,-0.004653931339977837,0.11709078590785914,0.08397900524868783
qwen3vl-8b-instruct,UNSAFE,domain,model (high-low),0.0475000000000001,0.027454456071275363,-0.008333333333333304,0.09750000000000003,0.10547363159210198
qwen3vl-8b-instruct,UNSAFE,domain,interaction,0.0050000000000001155,0.027012040883229397,-0.049005102040816345,0.05789473684210522,0.9187703074231443
qwen3vl-8b-instruct,UNSAFE,irrel,user (high-low),-0.015625,0.01009016520154401,-0.036111111111111205,0.0032072368421052593,0.11297175706073481
qwen3vl-8b-instruct,UNSAFE,irrel,model (high-low),0.020625000000000115,0.013699887105882654,-0.005627232142857133,0.048718750000000054,0.13046738315421144
qwen3vl-8b-instruct,UNSAFE,irrel,interaction,-0.016250000000000098,0.019318011130204833,-0.05395003556187766,0.02195121951219514,0.4233941514621345
qwen3vl-8b-think,SAFE,domain,user (high-low),-0.0025000000000000022,0.02711039485542995,-0.05385714285714285,0.052176383399209485,0.9607598100474881
qwen3vl-8b-think,SAFE,domain,model (high-low),0.0775,0.03345026492511451,0.018175990675990683,0.14878190584231427,0.012996750812296926
qwen3vl-8b-think,SAFE,domain,interaction,-0.025000000000000022,0.03750720629485643,-0.10005319148936172,0.04390243902439024,0.5298675331167209
qwen3vl-8b-think,SAFE,irrel,user (high-low),0.0,0.0033154015972401054,-0.006249999999999999,0.006667682926829273,1.0
qwen3vl-8b-think,SAFE,irrel,model (high-low),0.0175,0.00615142359235475,0.006410256410256412,0.030436108165429486,0.000999750062484379
qwen3vl-8b-think,SAFE,irrel,interaction,-0.0275,0.010298890019506552,-0.04883850129198967,-0.008333333333333335,0.0069982504373906525
qwen3vl-8b-think,UNSAFE,domain,user (high-low),0.010000000000000009,0.020320800672850362,-0.03158215661103978,0.04749999999999999,0.6453386653336666
qwen3vl-8b-think,UNSAFE,domain,model (high-low),0.04999999999999993,0.02375483593375154,0.004761904761904853,0.09756242740998848,0.03549112721819545
qwen3vl-8b-think,UNSAFE,domain,interaction,0.020000000000000018,0.02889687443828414,-0.03499999999999992,0.07894736842105265,0.5033741564608848
qwen3vl-8b-think,UNSAFE,irrel,user (high-low),-0.0025000000000000577,0.01103888538740587,-0.024342526990553243,0.01862034574468082,0.8562859285178706
qwen3vl-8b-think,UNSAFE,irrel,model (high-low),0.00374999999999992,0.010314279645993504,-0.01585504434589791,0.024406055900621147,0.7223194201449638
qwen3vl-8b-think,UNSAFE,irrel,interaction,-0.04999999999999993,0.020875735814872124,-0.09167151162790708,-0.010606060606060508,0.014996250937265684
