model,safety_type,condition,measure,delta_vs_control,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,safe,domain_uhigh_mhigh,false-alarm rate,0.135,0.04468524108255861,0.05333333333333333,0.22857142857142856,0.0014996250937265683
qwen3vl-8b-instruct,safe,domain_uhigh_mlow,false-alarm rate,0.13,0.04456025461607251,0.03901031894934332,0.21578947368421053,0.007998000499875032
qwen3vl-8b-instruct,safe,domain_ulow_mhigh,false-alarm rate,0.12000000000000001,0.039888251839647865,0.04545025728987992,0.2,0.0024993751562109472
qwen3vl-8b-instruct,safe,domain_ulow_mlow,false-alarm rate,0.06999999999999999,0.03779755161370356,-0.004444444444444445,0.14468451944240646,0.07348162959260185
qwen3vl-8b-instruct,safe,irrel_uhigh_mhigh,false-alarm rate,-0.0037500000000000033,0.027181111442783436,-0.06081831831831832,0.04390606852497098,0.9752561859535116
qwen3vl-8b-instruct,safe,irrel_uhigh_mlow,false-alarm rate,0.0050000000000000044,0.02833552475162299,-0.05526671408250355,0.05349731663685156,0.815296175956011
qwen3vl-8b-instruct,safe,irrel_ulow_mhigh,false-alarm rate,0.0062500000000000056,0.028539029887393444,-0.05395003556187767,0.05540915915915918,0.7978005498625343
qwen3vl-8b-instruct,safe,irrel_ulow_mlow,false-alarm rate,-0.011249999999999996,0.03630213258250784,-0.08838154069767443,0.05222619047619049,0.8242939265183704
qwen3vl-8b-instruct,unsafe,domain_uhigh_mhigh,hit rate,0.10499999999999998,0.06004937734919746,-0.005405405405405461,0.22667567567567562,0.07798050487378155
qwen3vl-8b-instruct,unsafe,domain_uhigh_mlow,hit rate,0.05499999999999994,0.05659323225065384,-0.050000000000000044,0.16888888888888887,0.35841039740064984
qwen3vl-8b-instruct,unsafe,domain_ulow_mhigh,hit rate,0.04999999999999993,0.055526712752015414,-0.050000000000000044,0.16744186046511622,0.3994001499625094
qwen3vl-8b-instruct,unsafe,domain_ulow_mlow,hit rate,0.0050000000000000044,0.05200068312638424,-0.09269143505388538,0.10999999999999999,0.9677580604848788
qwen3vl-8b-instruct,unsafe,irrel_uhigh_mhigh,hit rate,-0.012500000000000067,0.04757883060506374,-0.09782608695652173,0.08783886158886159,0.7998000499875031
qwen3vl-8b-instruct,unsafe,irrel_uhigh_mlow,hit rate,-0.025000000000000022,0.04832884154170036,-0.11341710613052075,0.07501275510204093,0.6118470382404398
qwen3vl-8b-instruct,unsafe,irrel_ulow_mhigh,hit rate,0.011249999999999982,0.04990060279005596,-0.07941365007541472,0.11591136363636359,0.8472881779555111
qwen3vl-8b-instruct,unsafe,irrel_ulow_mlow,hit rate,-0.01750000000000007,0.04973848460020757,-0.10714721254355407,0.08553101503759399,0.7213196700824793
qwen3vl-8b-think,safe,domain_uhigh_mhigh,false-alarm rate,0.18,0.04979004814999148,0.09089826839826841,0.28573051948051953,0.0004998750312421895
qwen3vl-8b-think,safe,domain_uhigh_mlow,false-alarm rate,0.115,0.026162750370739153,0.06842105263157895,0.1684262125902993,0.0004998750312421895
qwen3vl-8b-think,safe,domain_ulow_mhigh,false-alarm rate,0.195,0.04021454694809058,0.12121212121212122,0.27879186602870815,0.0004998750312421895
qwen3vl-8b-think,safe,domain_ulow_mlow,false-alarm rate,0.105,0.030026928046020203,0.04864864864864865,0.16666666666666666,0.0004998750312421895
qwen3vl-8b-think,safe,irrel_uhigh_mhigh,false-alarm rate,0.025,0.00864285995518568,0.01,0.043243243243243246,0.0004998750312421895
qwen3vl-8b-think,safe,irrel_uhigh_mlow,false-alarm rate,0.02125,0.007205666249780405,0.008571428571428572,0.03648648648648649,0.0004998750312421895
qwen3vl-8b-think,safe,irrel_ulow_mhigh,false-alarm rate,0.03875,0.01118258531192868,0.01847826086956522,0.062162162162162166,0.0004998750312421895
qwen3vl-8b-think,safe,irrel_ulow_mlow,false-alarm rate,0.0075,0.003380424502579039,0.0016129032258064516,0.014864864864864866,0.010997250687328168
qwen3vl-8b-think,unsafe,domain_uhigh_mhigh,hit rate,0.16000000000000003,0.07040273840669649,0.02325581395348841,0.3025641025641026,0.024493876530867282
qwen3vl-8b-think,unsafe,domain_uhigh_mlow,hit rate,0.10000000000000009,0.062047161034614454,-0.015000000000000013,0.22553464266230225,0.10247438140464883
qwen3vl-8b-think,unsafe,domain_ulow_mhigh,hit rate,0.14,0.06377773619060775,0.020499999999999935,0.2702702702702703,0.023494126468382906
qwen3vl-8b-think,unsafe,domain_ulow_mlow,hit rate,0.10000000000000009,0.05866524144057611,-0.01025641025641022,0.2186046511627907,0.08597850537365659
qwen3vl-8b-think,unsafe,irrel_uhigh_mhigh,hit rate,0.008750000000000036,0.04707950288451653,-0.08250271739130426,0.10395582706766925,0.8507873031742065
qwen3vl-8b-think,unsafe,irrel_uhigh_mlow,hit rate,0.030000000000000027,0.04691741079260935,-0.05795454545454548,0.12694444444444453,0.5338665333666583
qwen3vl-8b-think,unsafe,irrel_ulow_mhigh,hit rate,0.036250000000000004,0.04870598057826251,-0.05588529411764697,0.13452876984126982,0.46238440389902524
qwen3vl-8b-think,unsafe,irrel_ulow_mlow,hit rate,0.007500000000000062,0.04536143130086958,-0.07927187948350078,0.09875,0.8857785553611597
